,기업명,제목,별점,평균연봉,직원추천
68,(주)버킷플레이스,Product Owner (상품/카탈로그),3.6,"평균 연봉 2,363만원",직원 추천 65.0%
69,(주)버킷플레이스,Product Owner (주문/클레임/정산),3.6,"평균 연봉 2,363만원",직원 추천 65.0%
70,(주)연합시스템,통계 전문가,제공X,제공X,제공X
71,잡플래닛 매칭서비스,미디어 커머스 강소기업 - 데이터분석전문가,제공X,제공X,제공X
72,(주)스마일게이트홀딩스,[스마일게이트 메가랩] [Project S] 여성향 게임 개발관리(PM) 담당,3.2,"평균 연봉 5,098만원",직원 추천 52.0%
73,(주)스마일게이트홀딩스,[재무] 데이터분석 담당,3.2,"평균 연봉 5,098만원",직원 추천 52.0%
74,씨제이올리브네트웍스(주),[잡플래닛 매칭] 데이터 사이언스 엔지니어,2.9,"평균 연봉 7,292만원",직원 추천 36.0%
75,(주)스마일게이트스토브,[잡플래닛 매칭] [BI] 빅데이터플랫폼 BI데이터개발 및 분석,2.1,"평균 연봉 4,807만원",직원 추천 18.0%
76,(주)카카오모빌리티,Data Engineer 영입,3.9,"평균 연봉 5,630만원",직원 추천 80.0%
77,잡플래닛 매칭서비스,AI분야 스타트업 - Data Analyst,제공X,제공X,제공X
78,(주)펄핏,[펄핏] Data Analyst (Junior),제공X,제공X,제공X
79,(주)펄핏,[펄핏] AI / Computer Vision Engineer,제공X,제공X,제공X
80,잡플래닛 매칭서비스,국내 1위 - 크라우드 펀딩 전문 플랫폼 기업  - 데이터 엔지니어,제공X,제공X,제공X
81,잡플래닛 매칭서비스,에너지 IT 플랫폼 - 데이터 사이언티스트 (시니어),제공X,제공X,제공X
82,(주)해줌,백엔드 개발자 (시니어),3.4,"평균 연봉 4,020만원",직원 추천 54.0%
83,잡플래닛 매칭서비스,AI 스타트업 - 데이터 운영 기획,제공X,제공X,제공X
84,(주)크렐로,"Software Engineer (C++/Python, 3D 데이터 분석)",제공X,제공X,제공X
85,잡플래닛 매칭서비스,"매출 2000억 IT중견기업 - 중견기업, DBA 경력자",제공X,제공X,제공X
86,버즈빌(주),데이터 분석가 Data Analyst (신입/경력),4.2,"평균 연봉 3,751만원",직원 추천 81.0%
87,(주)비버소프트,인공지능(AI)·빅데이터 정규직/계약직 모집합니다(경력사원),제공X,제공X,제공X
88,코웨이(주),빅 데이터팀 - BI/DW 담당자,3.0,"평균 연봉 6,617만원",직원 추천 42.0%
89,코웨이(주),빅 데이터팀 - 데이터 엔지니어,3.0,"평균 연봉 6,617만원",직원 추천 42.0%
90,(주)쏘카,[타다]데이터 분석가/사이언티스트,2.9,"평균 연봉 3,223만원",직원 추천 42.0%
91,(주)쏘카,데이터 분석가/사이언티스트(신입/인턴 가능),2.9,"평균 연봉 3,223만원",직원 추천 42.0%
92,(주)쏘카,데이터 엔지니어(신입/경력),2.9,"평균 연봉 3,223만원",직원 추천 42.0%
93,(주)쏘카,비즈니스 분석가,2.9,"평균 연봉 3,223만원",직원 추천 42.0%
94,(주)쏘카,카셰어링 사업매니저,2.9,"평균 연봉 3,223만원",직원 추천 42.0%
95,(주)쏘카,뉴플랜TF 매니저,2.9,"평균 연봉 3,223만원",직원 추천 42.0%
96,(주)해줌,백엔드 개발자 (3D),3.4,"평균 연봉 4,020만원",직원 추천 54.0%
97,(주)해줌,백엔드 개발자 (API),3.4,"평균 연봉 4,020만원",직원 추천 54.0%
98,(주)엔씨소프트,[전문연구요원] Data Science – Data Analytics,3.6,"평균 연봉 6,713만원",직원 추천 72.0%
99,(주)엔씨소프트,[MMORPG] [BSS] 레벨 디자이너 모집,3.6,"평균 연봉 6,713만원",직원 추천 72.0%
100,(주)베이글코드,개발 직군 산업기능요원 특별 모집 [데이터 사이언티스트],4.4,"평균 연봉 5,097만원",직원 추천 75.0%
101,잡플래닛 매칭서비스,국내 유명 OTT서비스 기업 - 데이터 사이언티스트,제공X,제공X,제공X
102,네이버(주),[Apollo CIC] 데이터 엔지니어링 ,3.9,"평균 연봉 7,606만원",직원 추천 84.0%
103,잡플래닛 매칭서비스,"AI 전문 연구개발 서비스 기업 - AI 전문연구개발기업, AI개발 각 부문 경력자 모집",제공X,제공X,제공X
104,잡플래닛 매칭서비스,"AI전문 기술개발 서비스기업 - AI전문기업, AI 데이터사이언티스트 경력자 모집",제공X,제공X,제공X
105,(주)엘지생활건강,Data Scientist,3.3,"평균 연봉 5,165만원",직원 추천 59.0%
106,(주)엘지생활건강,Data Engineer,3.3,"평균 연봉 5,165만원",직원 추천 59.0%
107,엘지전자(주),[글로벌마케팅센터] Data Scientist,3.1,"평균 연봉 7,035만원",직원 추천 48.0%
108,현대엠엔소프트(주),데이터 분석 모델 개발,2.9,"평균 연봉 7,178만원",직원 추천 36.0%
109,(주)브레이브모바일,[잡플래닛 매칭] Business Data Analyst,3.7,"평균 연봉 3,261만원",직원 추천 62.0%
110,(주)브레이브모바일,[잡플래닛 매칭] Data Scientist,3.7,"평균 연봉 3,261만원",직원 추천 62.0%
111,한국전자인증(주),Data Center,2.6,"평균 연봉 3,987만원",직원 추천 26.0%
112,한국전자인증(주),AI lab	,2.6,"평균 연봉 3,987만원",직원 추천 26.0%
113,리디(주),[리디 주식회사] 콘텐츠 데이터분석가,3.2,"평균 연봉 3,259만원",직원 추천 48.0%
114,리디(주),[리디 주식회사] 만타 Growth Data Analytics Manager,3.2,"평균 연봉 3,259만원",직원 추천 48.0%
115,위프로스퍼(주),Ios 개발자 구인공고,제공X,제공X,제공X
